Model,Dataset,Scene,Metric,Standard Value,Masked Value,Difference
radegs,mp360,treehill,PSNR,21.863704681396484,18.02014923095703,3.843555450439453
radegs,tnt,Truck,PSNR,22.91338539123535,19.41512107849121,3.4982643127441406
linprim,tnt,Barn,SSIM,0.8407555818557739,0.733197808265686,0.10755777359008789
linprim,mp360,bicycle,SSIM,0.7397040724754333,0.7171995639801025,0.02250450849533081
linprim,mp360,bonsai,SSIM,0.9356354475021362,0.9150091409683228,0.020626306533813477
linprim,tnt,Caterpillar,SSIM,0.7568187713623047,0.6402800679206848,0.11653870344161987
linprim,mp360,counter,SSIM,0.9049277901649476,0.8171036839485168,0.08782410621643078
linprim,tnt,Courthouse,SSIM,0.776653528213501,0.5415251851081848,0.23512834310531616
linprim,mp360,flowers,SSIM,0.6106881499290466,0.5619401931762695,0.0487479567527771
linprim,mp360,garden,SSIM,0.8502176403999329,0.8313488960266113,0.018868744373321533
linprim,tnt,Ignatius,SSIM,0.7644174695014954,0.6845553517341614,0.07986211776733398
linprim,mp360,kitchen,SSIM,0.9214518070220948,0.9234226942062378,-0.0019708871841429554
linprim,tnt,Meetingroom,SSIM,0.8597145676612854,0.7179728746414185,0.14174169301986694
linprim,mp360,room,SSIM,0.9137168526649476,0.818760871887207,0.09495598077774059
linprim,mp360,stump,SSIM,0.7322918176651001,0.7241196632385254,0.008172154426574707
linprim,mp360,treehill,SSIM,0.6169822216033936,0.520740270614624,0.09624195098876953
linprim,tnt,Truck,SSIM,0.8593280911445618,0.766646146774292,0.09268194437026978
beta_splatting,tnt,Barn,SSIM,0.8852344751358032,0.8250970840454102,0.060137391090393066
beta_splatting,mp360,bicycle,SSIM,0.8169512748718262,0.7930772304534912,0.02387404441833496
beta_splatting,mp360,bonsai,SSIM,0.9588825106620787,0.9442521929740906,0.01463031768798817
beta_splatting,tnt,Caterpillar,SSIM,0.8353810906410217,0.7523830533027649,0.08299803733825684
beta_splatting,mp360,counter,SSIM,0.9431968927383424,0.8915618658065796,0.051635026931762806
beta_splatting,tnt,Courthouse,SSIM,0.8170052170753479,0.6281560063362122,0.18884921073913574
beta_splatting,mp360,flowers,SSIM,0.6796892881393433,0.6244814395904541,0.05520784854888916
beta_splatting,mp360,garden,SSIM,0.8609347343444824,0.8354976773262024,0.02543705701828003
beta_splatting,tnt,Ignatius,SSIM,0.8324313759803772,0.7684339880943298,0.06399738788604736
