Model,Dataset,Scene,file_name,Metric,Standard Value,Masked1 Value,Masked2 Value,Masked3 Value,Masked4 Value,Difference1,Difference2,Difference3,Difference4
linprim,TnT,Barn,linprim_Barn_000297.png,PSNR,29.07698631286621,31.802949905395508,30.544078826904297,26.276939392089844,22.052038192749023,-2.725963592529297,-1.467092514038086,2.800046920776367,7.0249481201171875
linprim,TnT,Barn,linprim_Barn_000305.png,PSNR,29.069507598876953,34.08681869506836,32.203487396240234,26.449926376342773,21.85734748840332,-5.017311096191406,-3.1339797973632812,2.6195812225341797,7.212160110473633
linprim,TnT,Barn,linprim_Barn_000313.png,PSNR,26.33296012878418,30.003328323364258,28.099258422851562,24.195756912231445,20.427064895629883,-3.670368194580078,-1.7662982940673828,2.1372032165527344,5.905895233154297
linprim,TnT,Barn,linprim_Barn_000321.png,PSNR,26.52610969543457,29.385461807250977,28.21727752685547,24.88288688659668,20.854080200195312,-2.8593521118164062,-1.6911678314208984,1.6432228088378906,5.672029495239258
linprim,TnT,Barn,linprim_Barn_000329.png,PSNR,25.113746643066406,28.740262985229492,27.458263397216797,24.127437591552734,19.57280921936035,-3.626516342163086,-2.3445167541503906,0.9863090515136719,5.540937423706055
linprim,TnT,Barn,linprim_Barn_000337.png,PSNR,28.88788604736328,33.88092041015625,32.036651611328125,27.852745056152344,23.46001625061035,-4.993034362792969,-3.1487655639648438,1.0351409912109375,5.42786979675293
linprim,TnT,Barn,linprim_Barn_000345.png,PSNR,31.051856994628906,33.294532775878906,31.479408264160156,27.113006591796875,22.558433532714844,-2.24267578125,-0.42755126953125,3.9388504028320312,8.493423461914062
linprim,TnT,Barn,linprim_Barn_000353.png,PSNR,28.903179168701172,33.317874908447266,30.307722091674805,25.442325592041016,19.00428581237793,-4.414695739746094,-1.4045429229736328,3.4608535766601562,9.898893356323242
linprim,TnT,Barn,linprim_Barn_000361.png,PSNR,29.0546817779541,32.52837371826172,30.594207763671875,25.731407165527344,20.435945510864258,-3.473691940307617,-1.5395259857177734,3.323274612426758,8.618736267089844
linprim,TnT,Barn,linprim_Barn_000369.png,PSNR,24.315977096557617,27.065439224243164,25.509456634521484,22.320236206054688,18.937631607055664,-2.749462127685547,-1.1934795379638672,1.9957408905029297,5.378345489501953
linprim,TnT,Barn,linprim_Barn_000377.png,PSNR,25.88886070251465,31.11383628845215,28.902719497680664,23.864646911621094,19.564579010009766,-5.2249755859375,-3.0138587951660156,2.0242137908935547,6.324281692504883
linprim,TnT,Barn,linprim_Barn_000385.png,PSNR,27.274547576904297,28.787900924682617,27.325647354125977,24.655454635620117,21.82938575744629,-1.5133533477783203,-0.05109977722167969,2.6190929412841797,5.445161819458008
linprim,TnT,Barn,linprim_Barn_000393.png,PSNR,29.280054092407227,30.663734436035156,29.599695205688477,27.074899673461914,24.34109878540039,-1.3836803436279297,-0.31964111328125,2.2051544189453125,4.938955307006836
linprim,TnT,Barn,linprim_Barn_000401.png,PSNR,31.739974975585938,35.6204833984375,33.432037353515625,29.734458923339844,26.41189956665039,-3.8805084228515625,-1.6920623779296875,2.0055160522460938,5.328075408935547
linprim,TnT,Barn,linprim_Barn_000409.png,PSNR,31.923431396484375,35.038963317871094,33.36802673339844,29.877126693725586,26.449811935424805,-3.1155319213867188,-1.4445953369140625,2.046304702758789,5.47361946105957
linprim,TnT,Barn,linprim_Barn_000001.png,LPIPS,0.23566311597824097,0.17642104625701904,0.2603897452354431,0.1560654640197754,0.29446014761924744,-0.059242069721221924,0.02472662925720215,-0.07959765195846558,0.05879703164100647
linprim,TnT,Barn,linprim_Barn_000009.png,LPIPS,0.1832604706287384,0.12673255801200867,0.1713072955608368,0.09259676188230515,0.20523209869861603,-0.056527912616729736,-0.011953175067901611,-0.09066370874643326,0.021971628069877625
linprim,TnT,Barn,linprim_Barn_000017.png,LPIPS,0.26964837312698364,0.19204184412956238,0.24387401342391968,0.14781485497951508,0.26314854621887207,-0.07760652899742126,-0.025774359703063965,-0.12183351814746857,-0.006499826908111572
linprim,TnT,Barn,linprim_Barn_000025.png,LPIPS,0.2523788809776306,0.2544311285018921,0.23216526210308075,0.20532739162445068,0.2864861488342285,0.0020522475242614746,-0.020213618874549866,-0.04705148935317993,0.0341072678565979
linprim,TnT,Barn,linprim_Barn_000033.png,LPIPS,0.202829509973526,0.15053968131542206,0.2084239423274994,0.11081299185752869,0.21990489959716797,-0.05228982865810394,0.005594432353973389,-0.09201651811599731,0.017075389623641968
linprim,TnT,Barn,linprim_Barn_000041.png,LPIPS,0.1610754132270813,0.1680479198694229,0.17436733841896057,0.15619054436683655,0.21094408631324768,0.006972506642341614,0.013291925191879272,-0.004884868860244751,0.04986867308616638
linprim,TnT,Barn,linprim_Barn_000049.png,LPIPS,0.1457228660583496,0.11184194684028625,0.13717979192733765,0.055933330208063126,0.17497825622558594,-0.033880919218063354,-0.008543074131011963,-0.08978953585028648,0.029255390167236328
linprim,TnT,Barn,linprim_Barn_000057.png,LPIPS,0.23303796350955963,0.18223309516906738,0.20221583545207977,0.1229090541601181,0.18891358375549316,-0.05080486834049225,-0.03082212805747986,-0.11012890934944153,-0.04412437975406647
linprim,TnT,Barn,linprim_Barn_000065.png,LPIPS,0.28440725803375244,0.17949536442756653,0.2467501163482666,0.16089260578155518,0.2440904676914215,-0.10491189360618591,-0.03765714168548584,-0.12351465225219727,-0.04031679034233093
linprim,TnT,Barn,linprim_Barn_000073.png,LPIPS,0.29752159118652344,0.19392764568328857,0.22656023502349854,0.2278401255607605,0.2769845128059387,-0.10359394550323486,-0.0709613561630249,-0.06968146562576294,-0.020537078380584717
linprim,TnT,Barn,linprim_Barn_000081.png,LPIPS,0.2683815360069275,0.1619824320077896,0.2240101546049118,0.13763436675071716,0.263727068901062,-0.10639910399913788,-0.044371381402015686,-0.13074716925621033,-0.0046544671058654785
